1142,7371,427938102,1968515271,0,1925721459,1251583216,1506658608,1300790600,1462572710,0,68344,0,13106,56294991152740,98516234517295,
1430,4169,641907153,1540577169,641907153,1840133841,1379120912,1513035490,1185231947,1223751498,0,17086,6553,24247,0,84442486729110,
1050,4970,1497783357,1818736932,0,1711752408,1315352064,1544919915,1454868804,1535759859,0,8543,6553,36043,0,28147495576370,
1622,14750,1069845255,1925721455,427938102,1797340030,1124045520,1525789257,1262271049,1539611809,17086,44422,0,39318,0,126663730093665,
1061,2337,0,1497783357,1069845255,1390798830,1187814368,1417382222,1416349253,1508796173,59801,75173,0,45871,0,14073747788185,
1622,10147,855876204,1497783354,1283814306,1882927646,1315352064,1442889759,1185231947,1377829702,17086,64924,0,39318,0,42221243364555,
1567,11158,855876204,2011309074,0,1711752408,1442889760,1557673681,1454868804,1512648129,8543,62359,6553,41941,0,14073747788185,
1475,5775,855876204,984257634,427938102,1283814307,1506658608,1551296803,1416349253,1524203993,0,76887,0,39318,0,14073747788185,
1263,10847,855876204,1882927644,1069845255,1711752405,1506658608,1519412378,1300790600,1543463765,0,42715,6553,30145,0,14073747788185,
1452,7301,427938102,1112639066,855876204,2011309074,1379120912,1551296798,1454868804,1489536399,42715,81154,6553,30145,0,56294991152740,
1281,5254,641907153,1540577169,855876204,1112639064,1506658608,1551296803,1493388355,1547315725,0,51258,0,32765,0,42221243364555,
1279,4705,1069845255,1711752405,641907153,1840133841,1124045520,1391874678,1223751498,1466424670,0,59801,0,6553,0,84442486729110,
1559,6950,1283814306,1882927646,1069845255,1711752405,1060276672,1519412374,1377829702,1474128577,59801,70049,6553,41941,0,28147495576370,
1330,4660,1283814306,1882927646,1069845255,1711752405,1060276672,1417382218,1185231947,1493388355,25629,67489,6553,24247,0,56294991152740,
1530,7431,213969051,1561974073,641907153,1091242161,1187814368,1532166149,1377829702,1531907902,42715,81154,6553,59635,0,70368738940925,
1559,7140,1283814306,1540577166,641907153,1840133841,1060276672,1468397296,1339310151,1501092261,51258,71760,6553,18349,0,70368738940925,
1791,6048,855876204,1882927644,641907153,1091242161,1379120912,1493904836,1185231947,1300790600,51258,82011,6553,53737,0,98516234517295,
1708,4595,855876204,1112639064,1069845255,1818736930,1379120912,1513035490,1223751498,1501092266,25629,79449,0,58977,0,56294991152740,
1567,8544,1283814306,1797340026,1283814306,1626164786,1442889760,1506658605,1416349253,1493388353,8543,54671,6553,18349,0,70368738940925,
1240,8462,0,1497783357,1069845255,1711752405,1124045520,1481151064,1300790600,1543463765,0,68344,0,26212,56294991152740,106960483190206,
1372,3176,1283814306,1454989546,427938102,1797340030,1315352064,1366367142,1377829702,1512648127,0,68344,0,52424,0,70368738940925,
1622,10888,1283814306,1797340026,1069845255,1818736930,1315352064,1417382220,1185231947,1531907906,17086,37588,0,19659,0,14073747788185,
1922,7769,427938102,1797340030,641907153,941463825,1442889760,1493904836,1223751498,1535759862,0,68344,0,32765,0,56294991152740,
1623,11652,1069845255,1604767880,213969051,1561974073,996507824,1513035491,1185231947,1531907906,0,76887,0,39318,126663730093665,137922728324217,
1494,6097,1283814306,1711752406,1283814306,1454989546,1379120912,1474774182,1377829702,1531907902,34172,70047,6553,30145,0,56294991152740,
1559,6848,1069845255,1925721455,1283814306,1711752406,1187814368,1532166149,1377829702,1454868802,51258,75177,6553,30145,0,98516234517295,
1621,7209,1283814306,1540577166,1069845255,1818736930,1315352064,1468397298,1300790600,1462572710,34172,80297,6553,41941,0,84442486729110,
1353,11896,641907153,1690355505,1069845255,1925721455,1506658608,1532166148,1223751498,1535759862,0,25629,6553,47839,0,112589982305480,
1069,4134,213969051,1369401927,0,855876204,1442889760,1557673681,1300790600,1435609025,0,0,0,39318,0,14073747788185,
1622,11924,641907153,1540577169,213969051,1369401927,1315352064,1442889759,1262271049,1508796169,17086,23920,0,58977,0,28147495576370,
1488,4149,427938102,1968515271,855876204,1241020494,1379120912,1493904836,1223751498,1293086690,17086,23920,0,13106,0,98516234517295,
1622,10001,1069845255,1604767880,1283814306,1711752406,1315352064,1468397298,1223751498,1362421882,17086,23920,0,26212,0,98516234517295,
1989,7647,855876204,1882927644,1283814306,1968515266,1379120912,1532166144,1262271049,1447164889,51258,75177,6553,18349,0,42221243364555,
1103,1493,1283814306,1797340026,1283814306,1454989546,1251583216,1411005336,1493388355,1516500085,8543,70047,0,19659,0,112589982305480,
1927,7121,0,1283814306,641907153,1091242161,1187814368,1493904840,1185231947,1454868804,17086,78592,0,39318,0,126663730093665,
1494,6108,1283814306,1711752406,855876204,2011309074,1379120912,1455643528,1339310151,1477980531,59801,72611,6553,59635,0,56294991152740,
1394,6722,641907153,1540577169,641907153,1091242161,1442889760,1557673681,1454868804,1558871589,51258,78594,6553,36043,0,56294991152740,
1079,3133,1069845255,1390798830,641907153,1690355505,1315352064,1366367142,1377829702,1531907902,0,34172,0,13106,0,56294991152740,
1348,9175,1283814306,1711752406,855876204,1754546214,1251583216,1538543032,1223751498,1501092266,0,68344,0,19659,56294991152740,98516234517295,
1714,4576,855876204,1241020494,427938102,1112639066,1251583216,1442889760,1262271049,1508796169,17086,78592,6553,41941,0,84442486729110,
1549,7051,1283814306,1454989546,1283814306,1540577166,1315352064,1544919915,1339310151,1454868801,51258,71760,6553,30145,0,42221243364555,
1976,7980,427938102,1626164789,855876204,1497783354,1379120912,1455643528,1223751498,1501092266,42715,68341,0,6553,0,14073747788185,
1720,4583,427938102,1454989548,427938102,1112639066,932738976,1442889760,1262271049,1539611809,51258,82011,6553,12451,0,56294991152740,
1567,7432,1283814306,2054102886,855876204,1497783354,1442889760,1506658605,1454868804,1558871589,8543,54671,6553,30145,0,84442486729110,
1443,10703,1069845255,1711752405,1283814306,1968515266,1379120912,1513035490,1262271049,1539611809,0,76887,0,45871,56294991152740,123848980536028,
1664,5303,1069845255,1390798830,1069845255,1283814305,996507824,1513035491,1185231947,1262271049,17086,64924,0,32765,0,28147495576370,
1865,5988,1283814306,2054102886,641907153,1840133841,932738976,1442889760,1416349253,1462572713,59801,82859,0,32765,0,126663730093665,
1202,7822,1069845255,1711752405,0,1711752408,1379120912,1493904836,1300790600,1462572710,0,68344,0,19659,56294991152740,123848980536028,
1232,1802,213969051,1754546219,1283814306,1968515266,1315352064,1417382220,1493388355,1539611815,25629,67489,0,13106,0,28147495576370,
1021,4140,1069845255,2032705980,0,1711752408,1379120912,1436512874,1531907906,1543463771,8543,77735,0,39318,0,56294991152740,
1169,1795,427938102,1968515271,855876204,1882927644,996507824,1398251565,1185231947,1531907906,42715,76883,0,6553,0,14073747788185,
1119,3917,1283814306,1882927646,213969051,1947118365,1315352064,1391874681,1300790600,1489536395,0,8543,0,13106,0,42221243364555,
1510,6115,855876204,2011309074,855876204,1754546214,1506658608,1538543033,1339310151,1524203991,25629,79449,0,13106,0,84442486729110,
1033,5735,1069845255,1497783355,855876204,1882927644,932738976,1506658608,1416349253,1477980533,34172,80297,6553,30145,0,98516234517295,
1500,7604,641907153,1091242161,855876204,1369401924,1442889760,1493904836,1185231947,1493388355,0,76887,6553,41941,0,84442486729110,
1031,7445,1283814306,2054102886,1283814306,1968515266,1379120912,1532166144,1300790600,1543463765,0,42715,0,58977,126663730093665,129478479651303,
1318,9254,641907153,1690355505,0,1497783357,1379120912,1493904836,1262271049,1293086689,17086,23920,0,32765,0,56294991152740,
1892,9884,213969051,1176829781,641907153,1091242161,996507824,1455643528,1377829702,1416349252,0,25629,0,52424,0,28147495576370,
1510,10146,1283814306,1968515266,0,1925721459,1506658608,1538543033,1339310151,1524203991,25629,67489,0,45871,0,28147495576370,
1430,4144,855876204,1497783354,1069845255,1711752405,932738976,1442889760,1185231947,1223751498,0,25629,6553,12451,0,84442486729110,
1007,3968,1069845255,1497783355,1069845255,1925721455,1187814368,1417382222,1377829702,1493388352,59801,82859,0,19659,0,42221243364555,
1278,10169,641907153,1989912177,641907153,1540577169,1315352064,1544919915,1223751498,1501092266,8543,54671,0,26212,126663730093665,136515353545398,
1818,8784,641907153,1840133841,0,1069845255,1379120912,1551296798,1185231947,1493388355,59801,80297,0,39318,0,126663730093665,
1430,4323,427938102,1626164789,855876204,1497783354,1315352064,1493904837,1185231947,1223751498,0,59801,6553,59635,0,42221243364555,
1174,7202,213969051,1561974073,213969051,1754546219,1187814368,1532166149,1493388355,1508796175,0,59801,6553,36043,0,126663730093665,
